Tm,G,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Tennessee Titans,17,22.1,14.5,188.2,1.18,25.9,709.3,33.2,25.9,41.7,33.2
Detroit Lions,17,20.9,13.4,190.3,0.88,24.7,679.1,31.4,24.7,39.9,31.4
Minnesota Vikings,17,22.2,14.7,192.1,0.76,24.7,688.6,32.0,24.7,40.5,32.0
Dallas Cowboys,17,19.1,12.0,156.6,1.29,24.4,636.1,30.3,24.4,37.4,30.3
Carolina Panthers,17,21.2,14.4,173.9,0.88,23.8,670.1,31.0,23.8,39.4,31.0
San Francisco 49ers,17,19.7,13.0,167.5,0.94,23.5,641.8,30.0,23.5,37.8,30.0
Kansas City Chiefs,17,20.2,13.1,149.9,1.18,23.1,634.6,29.6,23.1,37.3,29.6
Tampa Bay Buccaneers,17,20.2,12.6,149.0,0.94,22.4,605.8,28.7,22.4,35.6,28.7
Atlanta Falcons,17,19.3,12.5,154.8,0.94,22.2,606.7,28.3,22.2,35.7,28.3
Chicago Bears,17,16.4,10.8,156.4,0.76,22.1,580.7,27.5,22.1,34.2,27.5
Pittsburgh Steelers,17,18.5,10.7,155.5,1.00,21.9,575.8,27.3,21.9,33.9,27.3
New England Patriots,17,19.8,12.2,158.1,0.88,21.8,598.4,27.9,21.8,35.2,27.9
Buffalo Bills,16,20.3,12.6,160.8,1.13,22.9,590.1,29.2,22.9,36.9,29.2
Washington Commanders,17,18.0,11.0,148.5,0.88,21.1,564.9,26.6,21.1,33.2,26.6
Jacksonville Jaguars,17,19.1,11.6,139.8,1.06,21.0,568.5,26.8,21.0,33.4,26.8
Los Angeles Rams,17,19.5,13.6,160.5,0.76,21.0,609.6,27.8,21.0,35.9,27.8
Las Vegas Raiders,17,18.5,12.2,156.5,0.76,20.9,568.2,27.0,20.9,33.4,27.0
Baltimore Ravens,17,20.8,13.5,169.1,0.71,20.8,601.1,27.5,20.8,35.4,27.5
Miami Dolphins,17,21.1,13.2,154.5,0.65,20.3,582.6,26.9,20.3,34.3,26.9
Green Bay Packers,17,16.6,11.0,146.4,0.76,19.9,546.2,25.3,19.9,32.1,25.3
New York Giants,17,21.2,12.6,152.3,0.76,19.9,567.2,26.1,19.9,33.4,26.1
Cleveland Browns,17,16.7,9.94,132.8,0.88,19.5,516.9,24.5,19.5,30.4,24.5
Cincinnati Bengals,16,17.9,10.6,149.3,0.69,20.6,512.2,25.9,20.6,32.0,25.9
New Orleans Saints,17,18.1,11.4,145.3,0.71,19.3,540.8,25.0,19.3,31.8,25.0
Philadelphia Eagles,17,18.0,10.8,129.7,0.94,19.3,523.5,24.6,19.3,30.8,24.6
Los Angeles Chargers,17,17.4,10.7,139.5,0.82,19.2,521.3,24.5,19.2,30.7,24.5
Indianapolis Colts,17,17.6,11.6,137.5,0.88,19.1,545.5,24.9,19.1,32.1,24.9
Arizona Cardinals,17,19.2,12.4,133.8,0.65,18.2,525.1,24.4,18.2,30.9,24.4
Houston Texans,17,16.0,10.3,137.1,0.35,16.9,479.7,22.1,16.9,28.2,22.1
Seattle Seahawks,17,17.0,10.1,117.4,0.65,16.7,459.2,21.6,16.7,27.0,21.6
Denver Broncos,17,18.8,11.7,121.9,0.53,15.4,479.0,21.3,15.4,28.2,21.3
New York Jets,17,16.6,9.88,109.2,0.59,15.2,437.2,20.2,15.2,25.7,20.2