ReceptionsPG, PlaysPG, TarsPG, ExpectedPointsPG, PointsPG, YardsPerPlay, TurnoversPG, FumblesPG, FirstDownsPG, PassCompsPG, PassAttPG, PassTDPG, PassIntPG, PassFirstDownsPG, PenaltiesPG, PenaltyFirstDownsPG, ScoresPerOffDrivePG, YardsPG, FeelsLike, WindSpeed, WindDirection, week, PassYdLine1, RecYdLine2, RecYdLine, result
10.70, 60.20, 18.50, -2.77, 20.40, 5.50, 1.35, 0.18, 18.50, 19.50, 31.90, 1.71, 1.18, 11.50, 5.65, 1.35, 37.30, 330.40, 73.80, 5.10, 176.00, 1, 259.50, 70.50, 69.50, 0
12.00, 64.80, 19.10, 1.87, 20.10, 5.10, 1.94, 1.00, 19.20, 20.30, 32.40, 1.35, 0.94, 10.20, 5.76, 2.00, 33.50, 330.20, 70.00, 0.00, 0.00, 2, 264.50, 76.50, 58.50, 0
9.88, 64.30, 16.60, 1.53, 18.60, 4.80, 0.94, 0.24, 18.20, 20.40, 32.70, 0.88, 0.71, 9.76, 5.29, 1.59, 32.30, 311.10, 59.10, 8.10, 203.00, 3, 264.50, 76.50, 65.50, 0
13.20, 63.90, 21.10, -3.91, 23.50, 5.30, 0.82, 0.35, 19.80, 24.50, 36.70, 1.59, 0.47, 11.80, 4.94, 2.24, 37.50, 337.80, 53.60, 2.20, 28.00, 4, 272.50, 71.50, 64.50, 2
13.50, 61.60, 20.80, -1.90, 18.50, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 50.10, 0.00, 0.00, 5, 272.50, 69.50, 67.50, 1
11.40, 63.30, 18.10, -1.80, 20.30, 5.00, 0.82, 0.41, 18.80, 18.90, 31.50, 1.00, 0.41, 9.35, 5.41, 2.24, 34.80, 314.80, 70.00, 0.00, 0.00, 6, 250.50, 83.50, 46.50, 2
12.50, 63.60, 19.30, -7.26, 22.70, 5.70, 1.00, 0.41, 20.60, 21.90, 33.00, 1.53, 0.59, 11.80, 5.88, 0.88, 43.50, 362.10, 74.60, 8.80, 200.00, 7, 285.50, 83.50, 73.50, 2
13.10, 64.30, 20.20, -3.86, 21.70, 5.10, 1.18, 0.53, 19.80, 24.00, 36.40, 1.94, 0.65, 12.20, 5.76, 1.65, 35.90, 328.20, 39.20, 4.30, 246.00, 12, 301.50, 76.50, 69.50, 0
9.94, 61.20, 16.70, -3.41, 22.40, 5.40, 1.18, 0.53, 19.40, 18.50, 30.50, 1.18, 0.65, 9.76, 5.18, 2.00, 38.50, 331.20, 39.80, 4.50, 348.00, 13, 273.50, 84.50, 68.50, 0
12.60, 63.10, 20.20, -2.15, 21.10, 5.10, 1.18, 0.59, 18.50, 21.40, 33.50, 1.71, 0.59, 10.90, 5.71, 1.47, 33.00, 324.30, 67.90, 10.10, 349.00, 14, 277.50, 85.50, 60.50, 1
12.20, 64.20, 19.80, 3.26, 20.40, 5.00, 1.76, 0.65, 18.50, 21.40, 35.10, 1.65, 1.12, 11.40, 5.24, 1.76, 30.50, 322.00, 4.30, 11.90, 223.00, 15, 256.50, 73.50, 60.50, 2
13.50, 61.60, 20.80, -1.90, 18.50, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 32.60, 6.80, 53.00, 16, 262.50, 77.50, 63.50, 0
11.70, 63.50, 18.80, 0.43, 21.10, 5.00, 1.35, 0.47, 19.10, 23.10, 35.60, 1.18, 0.88, 10.60, 6.24, 2.06, 35.90, 320.00, 72.20, 6.70, 185.00, 1, 207.50, 49.50, 56.50, 1
13.00, 60.40, 19.70, 3.31, 16.30, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 69.10, 16.70, 155.00, 2, 197.50, 47.50, 55.50, 0
12.50, 63.60, 19.30, -7.26, 22.70, 5.70, 1.00, 0.41, 20.60, 21.90, 33.00, 1.53, 0.59, 11.80, 5.88, 0.88, 43.50, 362.10, 73.70, 8.40, 305.00, 3, 215.50, 57.50, 54.50, 2
13.40, 63.30, 20.90, -9.39, 25.10, 6.20, 1.29, 0.59, 22.20, 20.80, 32.90, 1.53, 0.71, 12.30, 6.06, 1.94, 41.20, 392.40, 70.00, 0.00, 0.00, 4, 245.50, 65.50, 62.50, 2
11.40, 63.30, 18.10, -1.80, 20.30, 5.00, 0.82, 0.41, 18.80, 18.90, 31.50, 1.00, 0.41, 9.35, 5.41, 2.24, 34.80, 314.80, 70.00, 0.00, 0.00, 5, 241.50, 65.50, 62.50, 2
12.40, 63.20, 19.20, -4.81, 26.40, 5.50, 1.18, 0.53, 21.40, 24.40, 34.90, 1.71, 0.65, 12.80, 5.53, 1.24, 41.60, 348.90, 79.80, 5.60, 326.00, 6, 266.50, 69.50, 69.50, 1
10.70, 58.90, 17.40, -4.97, 22.60, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 70.00, 0.00, 0.00, 7, 261.50, 65.50, 66.50, 1
12.40, 63.20, 19.20, -4.81, 26.40, 5.50, 1.18, 0.53, 21.40, 24.40, 34.90, 1.71, 0.65, 12.80, 5.53, 1.24, 41.60, 348.90, 70.00, 0.00, 0.00, 9, 245.50, 65.50, 64.50, 0
12.60, 63.10, 20.20, -2.15, 21.10, 5.10, 1.18, 0.59, 18.50, 21.40, 33.50, 1.71, 0.59, 10.90, 5.71, 1.47, 33.00, 324.30, 50.20, 4.90, 75.00, 10, 239.50, 59.50, 57.50, 0
12.20, 63.40, 18.50, -7.77, 24.60, 5.80, 0.76, 0.41, 21.20, 23.50, 34.70, 1.47, 0.35, 12.10, 5.47, 1.65, 40.80, 365.60, 40.40, 8.40, 198.00, 11, 259.50, 65.50, 65.50, 2
13.60, 61.70, 19.50, -4.45, 22.60, 5.50, 1.29, 0.35, 19.50, 22.10, 32.70, 1.35, 0.94, 11.90, 4.82, 1.29, 41.00, 341.10, 70.00, 0.00, 0.00, 12, 251.50, 63.50, 66.50, 2
14.40, 64.90, 21.20, -3.06, 22.00, 5.40, 1.00, 0.41, 20.40, 22.50, 34.10, 1.47, 0.59, 11.40, 6.18, 1.59, 34.20, 350.20, 42.60, 4.40, 354.00, 13, 265.50, 63.50, 64.50, 0
13.00, 60.40, 19.70, 3.31, 16.30, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 37.30, 3.70, 4.00, 14, 238.50, 63.50, 65.50, 0
9.88, 64.30, 16.60, 1.53, 18.60, 4.80, 0.94, 0.24, 18.20, 20.40, 32.70, 0.88, 0.71, 9.76, 5.29, 1.59, 32.30, 311.10, 47.10, 0.00, 0.00, 16, 234.50, 60.50, 64.50, 1
13.60, 61.70, 19.50, -4.45, 22.60, 5.50, 1.29, 0.35, 19.50, 22.10, 32.70, 1.35, 0.94, 11.90, 4.82, 1.29, 41.00, 341.10, 43.20, 4.90, 134.00, 17, 241.50, 52.50, 69.50, 0
11.70, 63.50, 18.80, 0.43, 21.10, 5.00, 1.35, 0.47, 19.10, 23.10, 35.60, 1.18, 0.88, 10.60, 6.24, 2.06, 35.90, 320.00, 66.30, 8.30, 30.00, 3, 236.50, 56.50, 50.50, 0
13.60, 61.70, 19.50, -4.45, 22.60, 5.50, 1.29, 0.35, 19.50, 22.10, 32.70, 1.35, 0.94, 11.90, 4.82, 1.29, 41.00, 341.10, 69.10, 14.90, 328.00, 4, 224.50, 56.50, 52.50, 0
14.40, 64.90, 21.20, -3.06, 22.00, 5.40, 1.00, 0.41, 20.40, 22.50, 34.10, 1.47, 0.59, 11.40, 6.18, 1.59, 34.20, 350.20, 66.70, 4.70, 127.00, 5, 220.50, 55.50, 45.50, 0
12.50, 63.60, 19.30, -7.26, 22.70, 5.70, 1.00, 0.41, 20.60, 21.90, 33.00, 1.53, 0.59, 11.80, 5.88, 0.88, 43.50, 362.10, 70.00, 0.00, 0.00, 6, 229.50, 60.50, 47.50, 2
13.10, 64.30, 20.20, -3.86, 21.70, 5.10, 1.18, 0.53, 19.80, 24.00, 36.40, 1.94, 0.65, 12.20, 5.76, 1.65, 35.90, 328.20, 68.00, 10.00, 300.00, 7, 251.50, 61.50, 55.50, 0
10.70, 58.90, 17.40, -4.97, 22.60, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 58.90, 6.40, 337.00, 9, 243.50, 50.50, 54.50, 0
12.40, 63.20, 19.20, -4.81, 26.40, 5.50, 1.18, 0.53, 21.40, 24.40, 34.90, 1.71, 0.65, 12.80, 5.53, 1.24, 41.60, 348.90, 70.00, 0.00, 0.00, 10, 251.50, 52.50, 54.50, 0
11.40, 63.30, 18.10, -1.80, 20.30, 5.00, 0.82, 0.41, 18.80, 18.90, 31.50, 1.00, 0.41, 9.35, 5.41, 2.24, 34.80, 314.80, 66.00, 3.50, 346.00, 11, 244.50, 49.50, 53.50, 0
13.20, 63.90, 21.10, -3.91, 23.50, 5.30, 0.82, 0.35, 19.80, 24.50, 36.70, 1.59, 0.47, 11.80, 4.94, 2.24, 37.50, 337.80, 57.60, 6.60, 171.00, 12, 248.50, 40.50, 57.50, 0
10.30, 66.70, 16.00, -4.73, 24.70, 5.70, 1.59, 0.65, 21.90, 19.80, 30.70, 0.88, 0.94, 11.50, 5.59, 1.53, 35.20, 379.50, 70.00, 0.00, 0.00, 12, 237.50, 65.50, 48.50, 1
10.60, 62.30, 17.90, -1.25, 20.10, 5.40, 1.50, 0.69, 18.40, 20.60, 34.90, 1.06, 0.81, 10.80, 6.25, 1.25, 36.40, 335.70, 39.80, 4.50, 348.00, 13, 228.50, 57.50, 51.50, 0
13.50, 61.60, 20.80, -1.90, 18.50, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 25.60, 11.40, 220.00, 14, 220.50, 53.50, 47.50, 0
11.40, 63.30, 18.10, -1.80, 20.30, 5.00, 0.82, 0.41, 18.80, 18.90, 31.50, 1.00, 0.41, 9.35, 5.41, 2.24, 34.80, 314.80, -17.70, 30.60, 214.00, 15, 144.50, 33.50, 27.50, 0
11.00, 58.70, 18.00, 0.43, 20.20, 5.20, 1.06, 0.53, 16.80, 18.10, 30.20, 1.53, 0.53, 9.12, 5.00, 1.71, 31.50, 304.60, 58.90, 7.30, 273.00, 16, 215.50, 55.50, 42.50, 0
10.70, 60.20, 18.50, -2.77, 20.40, 5.50, 1.35, 0.18, 18.50, 19.50, 31.90, 1.71, 1.18, 11.50, 5.65, 1.35, 37.30, 330.40, 29.90, 5.90, 110.00, 17, 207.50, 68.50, 37.50, 0
12.20, 64.20, 19.80, 3.26, 20.40, 5.00, 1.76, 0.65, 18.50, 21.40, 35.10, 1.65, 1.12, 11.40, 5.24, 1.76, 30.50, 322.00, 100.60, 11.40, 129.00, 1, 230.50, 64.50, 55.50, 2
13.50, 61.60, 20.80, -1.90, 18.50, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 81.70, 6.10, 192.00, 2, 254.50, 67.50, 59.50, 2
12.60, 62.30, 20.30, 0.28, 17.90, 5.10, 1.69, 0.63, 19.60, 22.60, 35.60, 1.31, 1.06, 11.30, 5.56, 1.81, 31.00, 319.10, 93.50, 2.50, 18.00, 3, 272.50, 77.50, 64.50, 0
10.60, 62.30, 17.90, -1.25, 20.10, 5.40, 1.50, 0.69, 18.40, 20.60, 34.90, 1.06, 0.81, 10.80, 6.25, 1.25, 36.40, 335.70, 53.60, 2.20, 28.00, 4, 254.50, 76.50, 67.50, 0
10.70, 60.20, 18.50, -2.77, 20.40, 5.50, 1.35, 0.18, 18.50, 19.50, 31.90, 1.71, 1.18, 11.50, 5.65, 1.35, 37.30, 330.40, 75.80, 9.20, 10.00, 7, 250.50, 80.50, 65.50, 0
13.40, 63.30, 20.90, -9.39, 25.10, 6.20, 1.29, 0.59, 22.20, 20.80, 32.90, 1.53, 0.71, 12.30, 6.06, 1.94, 41.20, 392.40, 70.00, 0.00, 0.00, 8, 275.50, 91.50, 70.50, 2
10.80, 61.40, 16.40, -9.95, 27.20, 6.10, 1.35, 0.53, 21.20, 19.00, 28.30, 1.29, 0.82, 10.80, 4.94, 1.53, 41.80, 375.90, 57.30, 17.90, 210.00, 9, 260.50, 92.50, 70.50, 2
9.94, 61.20, 16.70, -3.41, 22.40, 5.40, 1.18, 0.53, 19.40, 18.50, 30.50, 1.18, 0.65, 9.76, 5.18, 2.00, 38.50, 331.20, 85.90, 5.80, 315.00, 10, 283.50, 99.50, 70.50, 0
10.30, 66.70, 16.00, -4.73, 24.70, 5.70, 1.59, 0.65, 21.90, 19.80, 30.70, 0.88, 0.94, 11.50, 5.59, 1.53, 35.20, 379.50, 88.60, 11.30, 232.00, 11, 275.50, 92.50, 67.50, 0
13.00, 60.40, 19.70, 3.31, 16.30, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 57.60, 6.60, 171.00, 12, 269.50, 90.50, 65.50, 0
10.70, 58.90, 17.40, -4.97, 22.60, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 70.00, 0.00, 0.00, 13, 290.50, 95.50, 72.50, 1
12.60, 62.30, 20.30, 0.28, 17.90, 5.10, 1.69, 0.63, 19.60, 22.60, 35.60, 1.31, 1.06, 11.30, 5.56, 1.81, 31.00, 319.10, 23.30, 6.10, 216.00, 14, 230.50, 72.50, 52.50, 0
11.00, 58.30, 16.60, -3.76, 21.80, 5.80, 1.41, 0.41, 18.90, 18.50, 28.10, 1.29, 1.00, 9.59, 5.88, 1.71, 38.20, 336.50, 39.20, 13.00, 322.00, 15, 275.50, 92.50, 63.50, 2
10.10, 65.70, 17.00, -6.66, 23.60, 5.50, 1.47, 0.65, 20.40, 20.20, 32.20, 1.35, 0.82, 11.10, 5.76, 1.71, 37.20, 361.70, 72.20, 6.70, 185.00, 1, 256.50, 61.50, 58.50, 2
10.30, 66.70, 16.00, -4.73, 24.70, 5.70, 1.59, 0.65, 21.90, 19.80, 30.70, 0.88, 0.94, 11.50, 5.59, 1.53, 35.20, 379.50, 80.10, 11.20, 86.00, 2, 246.50, 58.50, 58.50, 0
13.00, 60.40, 19.70, 3.31, 16.30, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 66.30, 8.30, 30.00, 3, 231.50, 56.50, 54.50, 0
12.20, 63.40, 18.50, -7.77, 24.60, 5.80, 0.76, 0.41, 21.20, 23.50, 34.70, 1.47, 0.35, 12.10, 5.47, 1.65, 40.80, 365.60, 70.00, 0.00, 0.00, 4, 243.50, 67.50, 44.50, 0
11.60, 64.20, 17.60, -3.00, 25.10, 5.20, 1.24, 0.65, 20.20, 21.50, 31.60, 1.47, 0.59, 10.80, 5.24, 1.94, 36.00, 334.00, 61.00, 6.30, 76.00, 5, 239.50, 63.50, 49.50, 2
10.70, 58.90, 17.40, -4.97, 22.60, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 70.00, 0.00, 0.00, 6, 237.50, 65.50, 51.50, 0
11.60, 65.10, 19.10, -3.07, 20.60, 5.40, 1.59, 0.76, 20.60, 22.60, 35.40, 1.47, 0.82, 12.40, 5.29, 1.47, 36.10, 353.30, 61.60, 14.10, 201.00, 8, 228.50, 55.50, 48.50, 0
14.50, 64.70, 22.10, -3.07, 21.10, 5.40, 1.18, 0.35, 19.90, 25.80, 39.50, 1.71, 0.82, 12.60, 6.76, 1.82, 33.90, 351.60, 28.80, 9.30, 42.00, 9, 229.50, 50.50, 49.50, 0
13.50, 61.60, 20.80, -1.90, 18.50, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 41.50, 5.50, 308.00, 12, 219.50, 61.50, 45.50, 0
13.60, 61.70, 19.50, -4.45, 22.60, 5.50, 1.29, 0.35, 19.50, 22.10, 32.70, 1.35, 0.94, 11.90, 4.82, 1.29, 41.00, 341.10, 70.00, 0.00, 0.00, 15, 214.50, 40.50, 56.50, 0
13.10, 64.30, 20.20, -3.86, 21.70, 5.10, 1.18, 0.53, 19.80, 24.00, 36.40, 1.94, 0.65, 12.20, 5.76, 1.65, 35.90, 328.20, 49.10, 2.00, 96.00, 16, 223.50, 53.50, 57.50, 1
10.70, 58.90, 17.40, -4.97, 22.60, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 41.70, 8.40, 138.00, 17, 232.50, 48.50, 57.50, 0
14.40, 64.90, 21.20, -3.06, 22.00, 5.40, 1.00, 0.41, 20.40, 22.50, 34.10, 1.47, 0.59, 11.40, 6.18, 1.59, 34.20, 350.20, 87.10, 9.90, 219.00, 1, 206.50, 48.50, 26.50, 0
