Latitude, Longitude, team
39.278088, -76.623322, ravens
42.773773, -78.787460, bills
35.225845, -80.853607, panthers
41.862366, -87.617256, bears
39.096306, -84.516846, bengals
41.506035, -81.700058, browns
39.744129, -105.020828, broncos
44.501308, -88.062317, packers
30.323471, -81.636528, jaguars
39.048786, -94.484566, chiefs
25.957960, -80.239311, dolphins
42.0909, -71.2643, patriots
40.8135, -74.0745, giants
40.813778, -74.074310, jets
39.900898, -75.168098, eagles
40.4468, -80.0157, steelers
37.4033, -121.9694, 49ers
47.595097, -122.332245, seahawks
36.1661, -86.7721, titans
38.9081, -76.8640, commanders
27.975958, -82.503693, buccaneers
51.604252, -0.067007, tottemham
51.555973, -0.279672, wembley
48.218967, 11.623746, allianz arena