homeTeam,dateTime,temperature,dewPoint,humidity,heatIndex,windSpeed,windGust,windDirection,windChill,precipitation,snowDepth,visibility,cloudCover,weatherType,conditions
ravens,09/10/2023 13:00:00,80.4,70.6,72.06,83.9,1.7,,58.0,,0.0,,9.9,85.1,,Overcast
ravens,09/24/2023 13:00:00,65.9,64.2,94.49,,4.5,,44.0,,0.02,,8.5,100.0,,"Rain, Overcast"
ravens,10/22/2023 13:00:00,62.5,36.1,37.27,,18.5,30.5,307.0,,0.0,,9.9,52.0,,Partially cloudy
ravens,11/05/2023 13:00:00,72.4,41.7,33.03,,8.9,20.8,293.0,,0.0,,9.9,21.3,,Clear
ravens,11/12/2023 13:00:00,50.8,29.7,44.03,,7.4,,359.0,,0.0,,9.9,39.0,,Partially cloudy
ravens,11/16/2023 20:15:00,48.8,40.1,71.66,,0.2,,12.0,,0.0,,9.9,0.0,,Clear
ravens,12/10/2023 13:00:00,56.9,56.2,97.5,,5.1,,130.0,,0.1,,1.0,100.0,"Mist, Fog, Light Rain","Rain, Overcast"
ravens,12/31/2023 13:00:00,49.6,28.5,43.87,,9.6,17.2,300.0,45.7,0.0,,9.9,86.8,,Overcast
ravens,01/06/2024 16:30:00,37.4,35.3,92.17,,17.1,29.9,57.0,27.9,0.2,,2.5,100.0,"Mist, Rain, Heavy Rain, Light Rain","Rain, Overcast"
bills,09/17/2023 13:00:00,70.2,52.8,54.15,,5.3,,266.0,,0.0,,9.9,65.4,,Partially cloudy
bills,10/01/2023 13:00:00,76.0,61.7,61.45,,7.2,,249.0,,0.0,,9.9,36.8,,Partially cloudy
bills,10/08/2023 09:30:00,76.1,53.6,45.54,,8.6,12.2,246.0,,0.0,,12.9,0.0,,Clear
bills,10/15/2023 20:15:00,47.5,43.0,84.48,,7.7,,327.0,43.8,0.0,,9.3,100.0,Mist,Overcast
bills,10/26/2023 20:15:00,67.1,52.1,58.57,,11.2,,210.0,,0.0,,9.9,76.2,,Overcast
bills,11/13/2023 20:15:00,48.4,32.6,54.28,,13.8,28.3,304.0,42.9,0.0,,9.9,98.9,,Overcast
bills,11/19/2023 16:25:00,37.9,27.2,64.97,,8.1,,351.0,32.0,0.0,,9.9,24.7,,Clear
bills,12/17/2023 16:25:00,47.5,44.7,89.95,,5.9,28.1,179.0,44.8,0.05,,8.0,100.0,"Mist, Light Rain","Rain, Overcast"
bills,12/31/2023 13:00:00,35.5,31.2,84.1,,1.8,,3.0,,0.0,,7.2,100.0,"Mist, Light Rain",Overcast
panthers,09/18/2023 19:15:00,65.2,57.0,74.67,,2.7,,326.0,,0.0,,9.9,0.0,,Clear
panthers,10/01/2023 13:00:00,80.0,56.4,44.5,,8.2,,37.0,,0.0,,9.9,51.9,,Partially cloudy
panthers,10/29/2023 13:00:00,80.7,56.9,44.14,80.8,13.3,20.8,239.0,,0.0,,9.9,22.2,,Clear
panthers,11/05/2023 16:05:00,72.5,38.4,28.94,,3.0,,258.0,,0.0,,9.9,22.2,,Clear
panthers,11/19/2023 13:00:00,60.2,28.4,29.73,,0.4,,13.0,,0.0,,9.9,0.0,,Clear
panthers,12/17/2023 13:00:00,47.0,44.4,90.56,,13.0,21.7,11.0,41.4,0.11,,2.7,100.0,"Mist, Rain, Heavy Rain","Rain, Overcast"
panthers,12/24/2023 13:00:00,64.2,38.6,38.9,,0.7,,24.0,,0.0,,9.9,72.2,,Partially cloudy
panthers,01/07/2024 13:00:00,54.8,28.5,36.25,,14.8,29.9,274.0,,0.0,,9.9,47.3,,Partially cloudy
bears,09/10/2023 16:25:00,80.1,54.1,40.76,80.1,7.0,,240.0,,0.0,,9.9,79.6,,Overcast
bears,10/01/2023 13:00:00,82.2,56.6,41.73,81.8,4.4,,308.0,,0.0,,9.9,0.0,,Clear
bears,10/15/2023 13:00:00,56.2,41.9,58.64,,11.7,17.2,352.0,,0.0,,9.9,90.2,,Overcast
bears,10/22/2023 13:00:00,56.3,39.2,52.64,,3.9,,13.0,,0.0,,9.9,47.8,,Partially cloudy
bears,11/09/2023 20:15:00,46.2,29.3,51.45,,7.5,,212.0,42.4,0.0,,9.9,24.6,,Clear
bears,12/10/2023 13:00:00,35.6,26.5,69.19,,10.3,16.1,289.0,28.0,0.0,,9.9,100.0,,Overcast
bears,12/24/2023 16:25:00,54.9,49.1,80.73,,8.9,,150.0,,0.0,,9.9,100.0,,Overcast
bears,12/31/2023 13:00:00,33.7,29.2,83.36,,9.8,,282.0,26.0,0.0,1.18,6.5,100.0,Light Snow,Overcast
bengals,09/17/2023 13:00:00,73.5,55.3,52.99,,2.3,,0.0,,0.0,,9.9,24.2,,Clear
bengals,09/25/2023 20:15:00,63.7,61.1,91.15,,2.0,,44.0,,0.0,,9.9,0.0,,Clear
bengals,10/15/2023 13:00:00,56.0,40.5,55.85,,11.8,,346.0,,0.0,,9.9,100.0,,Overcast
bengals,11/05/2023 20:20:00,44.8,30.7,57.39,,0.0,,0.0,,0.0,,9.9,12.0,,Clear
bengals,11/12/2023 13:00:00,53.8,33.9,46.75,,6.1,,94.0,,0.0,,9.9,0.0,,Clear
bengals,11/26/2023 13:00:00,46.2,34.4,63.24,,7.3,,181.0,42.5,0.0,,6.6,100.0,Light Rain,Overcast
bengals,12/10/2023 13:00:00,38.4,29.0,68.46,,8.5,,263.0,32.4,0.0,,9.9,100.0,,Overcast
bengals,12/16/2023 13:00:00,52.4,30.4,42.73,,5.3,,243.0,,0.0,,9.9,23.1,,Clear
bengals,01/07/2024 13:00:00,37.4,32.0,80.74,,14.4,17.2,281.0,28.7,0.0,,7.8,100.0,,Overcast
browns,09/10/2023 13:00:00,66.8,62.9,87.22,,6.5,,291.0,,0.03,,2.5,100.0,Mist,"Rain, Overcast"
browns,09/24/2023 13:00:00,69.1,60.1,73.08,,12.7,,40.0,,0.0,,9.9,100.0,,Overcast
browns,10/01/2023 13:00:00,73.2,62.9,70.21,,7.9,,360.0,,0.0,,9.9,0.0,,Clear
browns,10/15/2023 13:00:00,55.1,44.0,66.22,,17.2,26.5,310.0,,0.0,,9.9,100.0,,Overcast
browns,11/05/2023 13:00:00,56.0,42.1,59.55,,7.0,,301.0,,0.0,,9.9,0.8,,Clear
browns,11/19/2023 13:00:00,50.0,38.9,65.41,,8.1,,281.0,,0.0,,9.9,0.2,,Clear
browns,12/10/2023 13:00:00,41.0,29.9,64.54,,11.4,,250.0,34.3,0.0,,9.9,100.0,,Overcast
browns,12/17/2023 13:00:00,46.1,39.8,78.66,,19.6,32.1,160.0,38.6,0.03,,9.9,100.0,Light Rain,"Rain, Overcast"
browns,12/28/2023 20:15:00,46.1,38.0,73.33,,12.7,,200.0,40.3,0.0,,9.9,100.0,,Overcast
broncos,09/10/2023 16:25:00,65.1,50.2,58.56,,6.4,,31.0,,0.0,,9.7,95.6,,Overcast
broncos,09/17/2023 16:25:00,81.2,26.6,13.47,79.1,3.1,,7.0,,0.0,,9.9,27.5,,Partially cloudy
broncos,10/08/2023 16:25:00,75.8,23.5,14.14,,3.8,,17.0,,0.0,,9.9,27.5,,Partially cloudy
broncos,10/22/2023 16:25:00,73.4,28.2,18.62,,10.1,,66.0,,0.0,,9.9,27.5,,Partially cloudy
broncos,10/29/2023 16:25:00,25.3,11.7,55.93,,3.9,,24.0,20.5,0.0,,9.9,89.0,,Overcast
broncos,11/19/2023 20:20:00,46.8,27.3,46.37,,8.1,,34.0,42.9,0.0,,9.9,97.7,,Overcast
broncos,11/26/2023 16:05:00,39.6,7.6,26.06,,8.4,,72.0,33.9,0.0,,9.9,16.2,,Clear
broncos,12/24/2023 20:15:00,22.8,10.6,59.05,,8.0,,2.0,13.6,0.0,,9.9,97.7,,Overcast
broncos,12/31/2023 16:25:00,41.5,17.7,37.96,,2.0,,348.0,,0.0,,9.9,89.0,,Overcast
packers,09/24/2023 13:00:00,70.0,56.9,63.02,,13.8,,148.0,,0.0,,9.9,87.2,,Overcast
packers,09/28/2023 20:15:00,57.8,54.0,87.33,,0.0,,0.0,,0.0,,9.9,27.4,,Partially cloudy
packers,10/29/2023 13:00:00,39.8,28.1,62.64,,9.1,,319.0,33.8,0.0,,9.9,99.5,,Overcast
packers,11/05/2023 13:00:00,51.9,35.9,54.21,,11.2,,168.0,,0.0,,9.9,99.9,,Overcast
packers,11/19/2023 13:00:00,44.0,30.8,59.34,,4.7,,12.0,41.4,0.0,,9.9,0.0,,Clear
packers,12/03/2023 20:20:00,30.8,26.2,82.83,,5.6,,340.0,25.1,0.0,,9.8,99.8,Mist,Overcast
packers,12/17/2023 13:00:00,41.0,37.2,86.36,,11.3,18.3,270.0,34.3,0.0,,8.0,100.0,,Overcast
packers,01/07/2024 16:25:00,33.2,26.2,75.2,,5.8,,261.0,27.8,0.0,,9.9,100.0,,Overcast
jaguars,09/17/2023 13:00:00,89.4,73.9,60.26,98.5,7.3,,170.0,,0.0,,9.9,73.1,,Partially cloudy
jaguars,09/24/2023 13:00:00,87.1,62.6,44.03,87.8,5.4,,73.0,,0.0,,9.9,29.6,,Partially cloudy
jaguars,10/01/2023 09:30:00,71.4,62.5,73.35,,8.1,13.9,221.0,,0.0,,6.8,93.3,,Overcast
jaguars,10/15/2023 13:00:00,74.7,52.9,46.61,,12.9,21.4,289.0,,0.0,,9.9,16.4,,Clear
jaguars,11/12/2023 13:00:00,61.1,58.2,90.21,,8.9,,18.0,,0.0,,4.0,100.0,Mist,Overcast
jaguars,11/19/2023 13:00:00,76.4,60.5,58.01,,8.4,,16.0,,0.0,,9.9,19.3,,Clear
jaguars,12/04/2023 20:15:00,62.1,52.1,69.76,,6.4,,242.0,,0.0,,9.9,34.8,,Partially cloudy
jaguars,12/17/2023 20:20:00,57.9,53.9,86.55,,15.0,27.7,283.0,,0.0,,9.9,100.0,,Overcast
jaguars,12/31/2023 13:00:00,57.8,37.0,45.77,,4.0,,279.0,,0.0,,9.9,0.0,,Clear
chiefs,09/07/2023 20:20:00,76.0,52.4,43.73,,6.8,,72.0,,0.0,,8.3,83.9,Smoke Or Haze,Overcast
chiefs,09/24/2023 16:25:00,83.2,52.4,34.58,81.8,3.7,,334.0,,0.0,,9.9,0.0,,Clear
chiefs,10/12/2023 20:15:00,68.8,56.6,65.18,,16.8,27.7,154.0,,0.0,,9.9,100.0,,Overcast
chiefs,10/22/2023 16:25:00,73.0,41.1,31.58,,10.7,,110.0,,0.0,,9.9,0.0,,Clear
chiefs,11/05/2023 09:30:00,52.7,47.0,80.84,,13.8,,239.0,,0.01,,10.7,,,Rain
chiefs,11/20/2023 20:15:00,44.8,42.1,90.07,,12.3,,19.0,38.8,0.01,,6.4,100.0,"Mist, Light Rain","Rain, Overcast"
chiefs,12/10/2023 16:25:00,43.6,24.1,45.85,,5.0,,228.0,40.7,0.0,,9.9,0.0,,Clear
chiefs,12/25/2023 13:00:00,37.0,33.1,85.55,,13.9,22.5,264.0,28.4,0.0,,8.9,100.0,,Overcast
chiefs,12/31/2023 16:25:00,33.9,23.5,65.37,,12.8,19.7,326.0,24.8,0.0,,9.9,100.0,,Overcast
dolphins,09/24/2023 13:00:00,88.2,73.8,62.61,96.9,12.0,17.2,109.0,,0.0,,9.9,31.4,,Partially cloudy
dolphins,10/08/2023 13:00:00,88.1,72.6,60.37,95.5,9.8,,282.0,,0.0,,9.9,48.1,,Partially cloudy
dolphins,10/15/2023 13:00:00,86.4,68.7,55.74,90.3,9.4,18.3,253.0,,0.0,,9.9,21.5,,Clear
dolphins,10/29/2023 13:00:00,84.2,70.5,63.46,88.9,18.8,27.3,69.0,,0.0,,9.9,76.0,,Overcast
dolphins,11/19/2023 13:00:00,80.8,66.5,61.91,83.1,8.1,18.3,9.0,,0.0,,9.9,43.9,,Partially cloudy
dolphins,12/11/2023 20:15:00,61.3,54.7,78.91,,10.7,19.7,342.0,,0.0,,9.9,5.4,,Clear
dolphins,12/17/2023 13:00:00,78.3,66.8,67.68,,19.2,29.1,259.0,,0.0,,9.9,16.7,,Clear
dolphins,12/24/2023 16:25:00,72.4,64.3,75.81,,12.1,25.5,93.0,,0.0,,9.9,96.4,,Overcast
dolphins,01/07/2024 20:20:00,61.4,52.1,71.41,,6.2,,352.0,,0.0,,9.9,1.7,,Clear
patriots,09/10/2023 16:25:00,72.6,69.3,89.51,,6.7,,36.0,,0.03,,8.5,93.5,Light Rain,"Rain, Overcast"
patriots,09/17/2023 20:20:00,65.4,55.8,70.98,,3.8,,277.0,,0.0,,9.9,0.0,,Clear
patriots,10/08/2023 13:00:00,62.3,44.9,52.88,,11.8,17.2,254.0,,0.0,,9.9,0.0,,Clear
patriots,10/22/2023 13:00:00,58.6,40.0,49.91,,15.7,21.7,267.0,,0.0,,9.9,100.0,,Overcast
patriots,11/05/2023 13:00:00,62.4,36.2,37.61,,8.3,,300.0,,0.0,,9.9,63.5,,Partially cloudy
patriots,11/12/2023 09:30:00,45.3,40.4,82.79,,3.2,,12.0,44.2,0.0,,23.3,,,Clear
patriots,12/03/2023 13:00:00,46.6,42.6,85.7,,9.9,17.2,73.0,41.9,0.05,,7.1,100.0,"Mist, Light Rain","Rain, Overcast"
patriots,12/17/2023 13:00:00,52.5,43.3,70.9,,7.0,,111.0,,0.0,,9.9,100.0,,Overcast
patriots,01/07/2024 13:00:00,34.7,32.1,90.16,,13.3,24.2,41.0,25.6,0.05,,0.9,100.0,"Mist, Light Snow, Fog, Light Rain, Snow","Rain, Overcast"
giants,09/10/2023 20:20:00,72.3,70.1,92.92,,3.3,,25.0,,0.03,,8.7,91.4,"Mist, Light Rain","Rain, Overcast"
giants,10/02/2023 20:15:00,64.8,56.4,74.25,,0.1,,352.0,,0.0,,9.9,1.5,,Clear
giants,10/22/2023 13:00:00,56.1,35.8,46.34,,17.4,26.7,310.0,,0.0,,9.9,88.9,,Overcast
giants,10/29/2023 13:00:00,52.4,49.3,89.32,,8.9,20.8,59.0,,0.04,,5.0,100.0,"Mist, Light Rain","Rain, Overcast"
giants,11/26/2023 13:00:00,47.3,34.4,60.59,,4.1,,21.0,45.8,0.0,,9.9,91.0,,Overcast
giants,12/11/2023 20:15:00,38.3,21.6,50.57,,10.2,21.9,305.0,31.4,0.0,,9.9,49.2,,Partially cloudy
giants,12/31/2023 13:00:00,42.4,25.7,51.37,,9.9,,284.0,36.6,0.0,,9.9,99.3,,Overcast
giants,01/07/2024 16:25:00,35.5,29.3,78.0,,7.3,,329.0,29.6,0.0,,5.9,100.0,Smoke Or Haze,Overcast
jets,09/11/2023 20:15:00,71.1,68.1,90.38,,0.2,,353.0,,0.0,,9.5,5.3,,Clear
jets,09/24/2023 13:00:00,63.3,61.2,92.97,,10.0,20.6,66.0,,0.1,,1.2,100.0,"Mist, Light Rain","Rain, Overcast"
jets,10/01/2023 20:20:00,67.8,57.5,69.63,,3.4,,359.0,,0.0,,9.9,0.7,,Clear
jets,10/15/2023 16:25:00,56.9,39.0,51.04,,10.8,18.3,307.0,,0.0,,9.9,82.9,,Overcast
jets,11/06/2023 20:15:00,51.6,46.2,81.49,,3.6,,189.0,,0.0,,9.9,5.3,,Clear
jets,11/24/2023 15:00:00,48.8,23.6,36.94,,11.0,17.6,297.0,44.2,0.0,,9.9,5.3,,Clear
jets,12/03/2023 13:00:00,49.6,47.2,91.48,,6.1,,44.0,47.1,0.01,,3.0,100.0,"Mist, Rain, Heavy Rain, Light Rain","Rain, Overcast"
jets,12/10/2023 13:00:00,55.2,53.1,92.57,,0.8,,13.0,,0.05,,2.4,100.0,"Mist, Rain, Heavy Rain, Light Rain","Rain, Overcast"
jets,12/24/2023 13:00:00,45.5,39.7,80.04,,0.0,,0.0,,0.0,,9.6,99.3,,Overcast
eagles,09/14/2023 20:15:00,67.7,48.1,49.45,,14.3,24.2,9.0,,0.0,,9.9,0.0,,Clear
eagles,10/01/2023 13:00:00,79.0,56.1,45.5,,10.5,,20.0,,0.0,,9.9,24.9,,Clear
eagles,10/22/2023 20:20:00,53.0,32.0,44.68,,8.1,,282.0,,0.0,,9.9,28.0,,Partially cloudy
eagles,11/05/2023 16:25:00,64.5,37.2,36.28,,5.8,,358.0,,0.0,,9.9,24.9,,Clear
eagles,11/26/2023 16:25:00,44.9,43.0,92.97,,6.8,,58.0,41.2,0.04,,2.5,100.0,"Mist, Light Rain","Rain, Overcast"
eagles,12/03/2023 16:25:00,52.1,51.9,99.11,,4.7,,42.0,,0.0,,2.5,100.0,Mist,Overcast
eagles,12/25/2023 16:30:00,48.9,41.2,74.51,,0.2,,14.0,,0.0,,9.9,100.0,,Overcast
eagles,12/31/2023 13:00:00,44.8,25.0,45.47,,9.1,,281.0,40.0,0.0,,9.9,100.0,,Overcast
steelers,09/10/2023 13:00:00,71.5,64.4,78.22,,2.0,,0.0,,0.0,,9.9,100.0,,Overcast
steelers,09/18/2023 20:15:00,59.5,50.1,71.01,,6.0,,302.0,,0.0,,9.9,0.0,,Clear
steelers,10/08/2023 13:00:00,55.0,30.1,38.42,,14.5,29.9,270.0,,0.0,,9.9,52.6,,Partially cloudy
steelers,10/29/2023 13:00:00,55.0,53.6,94.88,,6.3,,341.0,,0.04,,0.8,100.0,"Mist, Light Drizzle, Fog, Light Rain","Rain, Overcast"
steelers,11/02/2023 20:15:00,39.8,20.5,45.77,,6.3,,172.0,35.3,0.0,,9.9,16.1,,Clear
steelers,11/12/2023 13:00:00,50.9,29.8,44.07,,4.8,,8.0,,0.0,,9.9,8.9,,Clear
steelers,12/03/2023 13:00:00,57.7,50.9,77.92,,9.0,,220.0,,0.0,,9.9,89.8,,Overcast
steelers,12/07/2023 20:15:00,42.6,28.6,57.39,,5.6,,189.0,39.1,0.0,,9.9,77.2,,Overcast
steelers,12/23/2023 16:30:00,52.2,29.6,41.57,,6.1,,57.0,,0.0,,9.9,100.0,Light Rain,Overcast
49ers,09/21/2023 20:15:00,69.1,54.1,58.92,,7.9,,351.0,,0.0,,8.6,0.0,Smoke Or Haze,Clear
49ers,10/01/2023 16:25:00,73.7,48.5,40.85,,10.2,18.3,333.0,,0.0,,9.9,15.5,,Clear
49ers,10/08/2023 20:20:00,66.9,58.3,73.82,,8.8,,324.0,,0.0,,9.9,14.9,,Clear
49ers,10/29/2023 16:25:00,73.1,16.5,11.51,,10.3,,316.0,,0.0,,9.9,0.0,,Clear
49ers,11/19/2023 16:05:00,62.6,42.5,47.64,,10.9,,323.0,,0.0,,9.9,27.0,,Partially cloudy
49ers,12/10/2023 16:05:00,60.1,38.2,44.21,,6.5,,328.0,,0.0,,9.9,48.1,,Partially cloudy
49ers,12/25/2023 20:15:00,54.4,45.7,72.16,,7.6,,308.0,,0.0,,9.4,91.8,,Overcast
49ers,01/07/2024 16:25:00,53.0,32.2,44.9,,8.8,15.0,338.0,,0.0,,9.9,14.9,,Clear
seahawks,09/10/2023 16:25:00,78.8,52.4,40.01,,9.8,,199.0,,0.0,,9.9,12.4,,Clear
seahawks,09/24/2023 16:05:00,62.2,54.0,74.39,,2.7,,137.0,,0.0,,9.9,98.5,Light Rain,Overcast
seahawks,10/22/2023 16:05:00,56.2,51.4,83.99,,4.7,,341.0,,0.0,,9.9,100.0,,Overcast
seahawks,10/29/2023 16:05:00,53.1,33.9,47.89,,7.5,,338.0,,0.0,,9.9,40.1,,Partially cloudy
seahawks,11/12/2023 16:25:00,51.6,43.9,74.95,,0.7,,3.0,,0.0,,9.9,100.0,Light Rain,Overcast
seahawks,11/23/2023 20:20:00,41.6,36.5,81.83,,2.9,,37.0,,0.0,,9.9,7.0,,Clear
seahawks,12/18/2023 20:15:00,47.2,43.4,86.67,,0.8,,34.0,,0.0,,9.7,100.0,,Overcast
seahawks,12/31/2023 16:05:00,50.1,40.8,70.28,,1.3,,36.0,,0.0,,9.9,45.6,,Partially cloudy
titans,09/17/2023 13:00:00,74.9,57.9,55.33,,4.0,,310.0,,0.0,,9.9,60.6,,Partially cloudy
titans,10/01/2023 13:00:00,86.5,59.0,39.54,85.9,4.2,,29.0,,0.0,,9.9,49.0,,Partially cloudy
titans,10/15/2023 09:30:00,51.3,30.5,44.68,,7.4,11.0,360.0,,0.0,,17.5,0.0,,Clear
titans,10/29/2023 13:00:00,77.9,59.3,52.8,,7.5,19.7,209.0,,0.0,,9.9,96.6,,Overcast
titans,11/26/2023 13:00:00,52.5,45.7,77.48,,10.2,19.1,221.0,,0.0,,8.4,100.0,,Overcast
titans,12/03/2023 13:00:00,55.9,45.7,68.72,,10.3,,296.0,,0.0,,9.9,70.9,,Partially cloudy
titans,12/17/2023 13:00:00,50.7,39.9,66.5,,10.2,,319.0,,0.0,,9.9,96.6,,Overcast
titans,12/24/2023 13:00:00,67.1,50.1,54.35,,13.0,23.0,170.0,,0.0,,9.9,67.5,,Partially cloudy
titans,01/07/2024 13:00:00,44.0,32.8,64.61,,9.1,17.2,283.0,38.9,0.0,,9.9,92.1,,Overcast
commanders,09/10/2023 13:00:00,78.2,68.4,72.03,,0.3,,7.0,,0.0,,9.9,64.4,,Partially cloudy
commanders,09/24/2023 13:00:00,65.9,64.8,96.02,,3.7,,348.0,,0.01,,5.0,92.3,"Mist, Light Rain","Rain, Overcast"
commanders,10/05/2023 20:15:00,67.4,64.9,91.58,,4.7,,126.0,,0.0,,9.9,18.9,,Clear
commanders,10/29/2023 13:00:00,75.8,62.3,62.83,,6.0,,17.0,,0.0,,9.9,46.1,Light Drizzle,Partially cloudy
commanders,11/19/2023 13:00:00,57.0,27.5,32.11,,9.4,24.2,299.0,,0.0,,9.9,0.0,,Clear
commanders,12/03/2023 13:00:00,54.1,53.0,95.78,,0.1,,358.0,,0.0,,1.0,100.0,"Mist, Fog",Overcast
commanders,12/31/2023 13:00:00,49.2,27.4,42.53,,8.7,,243.0,45.5,0.0,,9.9,61.5,,Partially cloudy
commanders,01/07/2024 16:25:00,47.2,29.7,50.26,,15.2,22.4,297.0,41.1,0.0,,9.9,47.4,,Partially cloudy
buccaneers,09/17/2023 13:00:00,90.9,75.9,61.77,102.9,11.7,,264.0,,0.0,,9.8,53.1,Light Rain,Partially cloudy
buccaneers,09/25/2023 19:15:00,80.8,74.9,82.35,86.4,6.7,,138.0,,0.04,,9.7,76.6,Light Rain,"Rain, Overcast"
buccaneers,10/15/2023 16:25:00,74.9,58.0,55.55,,12.6,24.8,310.0,,0.0,,9.9,86.4,,Overcast
buccaneers,10/22/2023 13:00:00,80.3,61.6,53.03,81.4,7.7,,242.0,,0.0,,9.9,81.5,,Overcast
buccaneers,11/12/2023 13:00:00,84.2,72.9,69.05,90.5,7.7,,225.0,,0.0,,9.9,49.1,,Partially cloudy
buccaneers,12/03/2023 16:05:00,72.8,71.3,95.19,,7.0,,2.0,,0.12,,2.2,99.3,,"Rain, Overcast"
buccaneers,12/24/2023 16:05:00,72.1,61.3,68.71,,9.3,20.8,90.0,,0.0,,9.9,93.1,,Overcast
buccaneers,12/31/2023 13:00:00,65.2,52.0,62.47,,4.8,,183.0,,0.0,,9.9,47.7,,Partially cloudy